1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EA0000002E202E21
Is Mission Active?  true
Mission Start:  Thu Oct 11 12:14:00 CST 2012
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1587
Total Samples:  1587
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
11/10/12 12:14:00 PM,C,22
11/10/12 1:14:00 PM,C,22.5
11/10/12 2:14:00 PM,C,22.5
11/10/12 3:14:00 PM,C,22.5
11/10/12 4:14:00 PM,C,22.5
11/10/12 5:14:00 PM,C,21.5
11/10/12 6:14:00 PM,C,21
11/10/12 7:14:00 PM,C,21
11/10/12 8:14:00 PM,C,20.5
11/10/12 9:14:00 PM,C,21
11/10/12 10:14:00 PM,C,21
11/10/12 11:14:00 PM,C,20.5
12/10/12 12:14:00 AM,C,20
12/10/12 1:14:00 AM,C,20
12/10/12 2:14:00 AM,C,20.5
12/10/12 3:14:00 AM,C,20.5
12/10/12 4:14:00 AM,C,20.5
12/10/12 5:14:00 AM,C,20.5
12/10/12 6:14:00 AM,C,20.5
12/10/12 7:14:00 AM,C,21
12/10/12 8:14:00 AM,C,21
12/10/12 9:14:00 AM,C,21.5
12/10/12 10:14:00 AM,C,22.5
12/10/12 11:14:00 AM,C,23
12/10/12 12:14:00 PM,C,23
12/10/12 1:14:00 PM,C,23.5
12/10/12 2:14:00 PM,C,23.5
12/10/12 3:14:00 PM,C,23
12/10/12 4:14:00 PM,C,22
12/10/12 5:14:00 PM,C,21.5
12/10/12 6:14:00 PM,C,21
12/10/12 7:14:00 PM,C,21
12/10/12 8:14:00 PM,C,21
12/10/12 9:14:00 PM,C,21
12/10/12 10:14:00 PM,C,21
12/10/12 11:14:00 PM,C,21.5
13/10/12 12:14:00 AM,C,21.5
13/10/12 1:14:00 AM,C,21.5
13/10/12 2:14:00 AM,C,21.5
13/10/12 3:14:00 AM,C,21
13/10/12 4:14:00 AM,C,21
13/10/12 5:14:00 AM,C,21
13/10/12 6:14:00 AM,C,21
13/10/12 7:14:00 AM,C,21
13/10/12 8:14:00 AM,C,21.5
13/10/12 9:14:00 AM,C,21.5
13/10/12 10:14:00 AM,C,22
13/10/12 11:14:00 AM,C,22
13/10/12 12:14:00 PM,C,22.5
13/10/12 1:14:00 PM,C,23
13/10/12 2:14:00 PM,C,23
13/10/12 3:14:00 PM,C,22.5
13/10/12 4:14:00 PM,C,22
13/10/12 5:14:00 PM,C,21
13/10/12 6:14:00 PM,C,21
13/10/12 7:14:00 PM,C,20.5
13/10/12 8:14:00 PM,C,20
13/10/12 9:14:00 PM,C,20
13/10/12 10:14:00 PM,C,20.5
13/10/12 11:14:00 PM,C,21
14/10/12 12:14:00 AM,C,21
14/10/12 1:14:00 AM,C,21
14/10/12 2:14:00 AM,C,21
14/10/12 3:14:00 AM,C,21
14/10/12 4:14:00 AM,C,21
14/10/12 5:14:00 AM,C,20.5
14/10/12 6:14:00 AM,C,20.5
14/10/12 7:14:00 AM,C,21
14/10/12 8:14:00 AM,C,21
14/10/12 9:14:00 AM,C,21.5
14/10/12 10:14:00 AM,C,21.5
14/10/12 11:14:00 AM,C,21.5
14/10/12 12:14:00 PM,C,22
14/10/12 1:14:00 PM,C,22.5
14/10/12 2:14:00 PM,C,22.5
14/10/12 3:14:00 PM,C,22
14/10/12 4:14:00 PM,C,21.5
14/10/12 5:14:00 PM,C,21
14/10/12 6:14:00 PM,C,21
14/10/12 7:14:00 PM,C,20.5
14/10/12 8:14:00 PM,C,20.5
14/10/12 9:14:00 PM,C,20.5
14/10/12 10:14:00 PM,C,20.5
14/10/12 11:14:00 PM,C,20
15/10/12 12:14:00 AM,C,20
15/10/12 1:14:00 AM,C,20
15/10/12 2:14:00 AM,C,20
15/10/12 3:14:00 AM,C,20
15/10/12 4:14:00 AM,C,20
15/10/12 5:14:00 AM,C,20
15/10/12 6:14:00 AM,C,20
15/10/12 7:14:00 AM,C,20.5
15/10/12 8:14:00 AM,C,21
15/10/12 9:14:00 AM,C,21.5
15/10/12 10:14:00 AM,C,22
15/10/12 11:14:00 AM,C,22.5
15/10/12 12:14:00 PM,C,22.5
15/10/12 1:14:00 PM,C,23
15/10/12 2:14:00 PM,C,22.5
15/10/12 3:14:00 PM,C,22
15/10/12 4:14:00 PM,C,22
15/10/12 5:14:00 PM,C,21
15/10/12 6:14:00 PM,C,19.5
15/10/12 7:14:00 PM,C,20
15/10/12 8:14:00 PM,C,19
15/10/12 9:14:00 PM,C,19
15/10/12 10:14:00 PM,C,19
15/10/12 11:14:00 PM,C,18.5
16/10/12 12:14:00 AM,C,19
16/10/12 1:14:00 AM,C,19
16/10/12 2:14:00 AM,C,19
16/10/12 3:14:00 AM,C,19
16/10/12 4:14:00 AM,C,19.5
16/10/12 5:14:00 AM,C,19.5
16/10/12 6:14:00 AM,C,20
16/10/12 7:14:00 AM,C,20.5
16/10/12 8:14:00 AM,C,21
16/10/12 9:14:00 AM,C,21.5
16/10/12 10:14:00 AM,C,22
16/10/12 11:14:00 AM,C,22
16/10/12 12:14:00 PM,C,22.5
16/10/12 1:14:00 PM,C,23
16/10/12 2:14:00 PM,C,23
16/10/12 3:14:00 PM,C,23
16/10/12 4:14:00 PM,C,22.5
16/10/12 5:14:00 PM,C,22
16/10/12 6:14:00 PM,C,20.5
16/10/12 7:14:00 PM,C,19.5
16/10/12 8:14:00 PM,C,19
16/10/12 9:14:00 PM,C,18.5
16/10/12 10:14:00 PM,C,18.5
16/10/12 11:14:00 PM,C,18.5
17/10/12 12:14:00 AM,C,18
17/10/12 1:14:00 AM,C,18
17/10/12 2:14:00 AM,C,18
17/10/12 3:14:00 AM,C,18
17/10/12 4:14:00 AM,C,18
17/10/12 5:14:00 AM,C,18
17/10/12 6:14:00 AM,C,18.5
17/10/12 7:14:00 AM,C,19.5
17/10/12 8:14:00 AM,C,21
17/10/12 9:14:00 AM,C,22
17/10/12 10:14:00 AM,C,22
17/10/12 11:14:00 AM,C,22.5
17/10/12 12:14:00 PM,C,22.5
17/10/12 1:14:00 PM,C,22.5
17/10/12 2:14:00 PM,C,22
17/10/12 3:14:00 PM,C,21.5
17/10/12 4:14:00 PM,C,21.5
17/10/12 5:14:00 PM,C,21
17/10/12 6:14:00 PM,C,20
17/10/12 7:14:00 PM,C,20
17/10/12 8:14:00 PM,C,19.5
17/10/12 9:14:00 PM,C,19.5
17/10/12 10:14:00 PM,C,19.5
17/10/12 11:14:00 PM,C,19.5
18/10/12 12:14:00 AM,C,19
18/10/12 1:14:00 AM,C,19
18/10/12 2:14:00 AM,C,19
18/10/12 3:14:00 AM,C,18.5
18/10/12 4:14:00 AM,C,19
18/10/12 5:14:00 AM,C,18.5
18/10/12 6:14:00 AM,C,18.5
18/10/12 7:14:00 AM,C,20
18/10/12 8:14:00 AM,C,21
18/10/12 9:14:00 AM,C,22
18/10/12 10:14:00 AM,C,22.5
18/10/12 11:14:00 AM,C,22.5
18/10/12 12:14:00 PM,C,23
18/10/12 1:14:00 PM,C,23.5
18/10/12 2:14:00 PM,C,23
18/10/12 3:14:00 PM,C,22.5
18/10/12 4:14:00 PM,C,23
18/10/12 5:14:00 PM,C,22.5
18/10/12 6:14:00 PM,C,21.5
18/10/12 7:14:00 PM,C,21
18/10/12 8:14:00 PM,C,20.5
18/10/12 9:14:00 PM,C,20.5
18/10/12 10:14:00 PM,C,20.5
18/10/12 11:14:00 PM,C,20
19/10/12 12:14:00 AM,C,20
19/10/12 1:14:00 AM,C,20
19/10/12 2:14:00 AM,C,19.5
19/10/12 3:14:00 AM,C,19
19/10/12 4:14:00 AM,C,19
19/10/12 5:14:00 AM,C,19
19/10/12 6:14:00 AM,C,19
19/10/12 7:14:00 AM,C,20
19/10/12 8:14:00 AM,C,21
19/10/12 9:14:00 AM,C,22.5
19/10/12 10:14:00 AM,C,22.5
19/10/12 11:14:00 AM,C,22
19/10/12 12:14:00 PM,C,22
19/10/12 1:14:00 PM,C,22
19/10/12 2:14:00 PM,C,22.5
19/10/12 3:14:00 PM,C,23
19/10/12 4:14:00 PM,C,22
19/10/12 5:14:00 PM,C,22
19/10/12 6:14:00 PM,C,21
19/10/12 7:14:00 PM,C,21
19/10/12 8:14:00 PM,C,20.5
19/10/12 9:14:00 PM,C,20.5
19/10/12 10:14:00 PM,C,20.5
19/10/12 11:14:00 PM,C,20.5
20/10/12 12:14:00 AM,C,20.5
20/10/12 1:14:00 AM,C,20.5
20/10/12 2:14:00 AM,C,20.5
20/10/12 3:14:00 AM,C,20
20/10/12 4:14:00 AM,C,20
20/10/12 5:14:00 AM,C,20
20/10/12 6:14:00 AM,C,20
20/10/12 7:14:00 AM,C,20.5
20/10/12 8:14:00 AM,C,21.5
20/10/12 9:14:00 AM,C,22.5
20/10/12 10:14:00 AM,C,23
20/10/12 11:14:00 AM,C,22.5
20/10/12 12:14:00 PM,C,23
20/10/12 1:14:00 PM,C,22
20/10/12 2:14:00 PM,C,22.5
20/10/12 3:14:00 PM,C,23
20/10/12 4:14:00 PM,C,23
20/10/12 5:14:00 PM,C,22.5
20/10/12 6:14:00 PM,C,21.5
20/10/12 7:14:00 PM,C,21.5
20/10/12 8:14:00 PM,C,21
20/10/12 9:14:00 PM,C,20
20/10/12 10:14:00 PM,C,19.5
20/10/12 11:14:00 PM,C,19.5
21/10/12 12:14:00 AM,C,19.5
21/10/12 1:14:00 AM,C,19
21/10/12 2:14:00 AM,C,19
21/10/12 3:14:00 AM,C,19
21/10/12 4:14:00 AM,C,19
21/10/12 5:14:00 AM,C,19
21/10/12 6:14:00 AM,C,19.5
21/10/12 7:14:00 AM,C,20.5
21/10/12 8:14:00 AM,C,21.5
21/10/12 9:14:00 AM,C,22
21/10/12 10:14:00 AM,C,22
21/10/12 11:14:00 AM,C,22.5
21/10/12 12:14:00 PM,C,22.5
21/10/12 1:14:00 PM,C,22
21/10/12 2:14:00 PM,C,22.5
21/10/12 3:14:00 PM,C,22.5
21/10/12 4:14:00 PM,C,23
21/10/12 5:14:00 PM,C,22
21/10/12 6:14:00 PM,C,21
21/10/12 7:14:00 PM,C,20.5
21/10/12 8:14:00 PM,C,20.5
21/10/12 9:14:00 PM,C,20
21/10/12 10:14:00 PM,C,20.5
21/10/12 11:14:00 PM,C,20.5
22/10/12 12:14:00 AM,C,20
22/10/12 1:14:00 AM,C,20.5
22/10/12 2:14:00 AM,C,20.5
22/10/12 3:14:00 AM,C,20.5
22/10/12 4:14:00 AM,C,20.5
22/10/12 5:14:00 AM,C,20.5
22/10/12 6:14:00 AM,C,21
22/10/12 7:14:00 AM,C,21
22/10/12 8:14:00 AM,C,21
22/10/12 9:14:00 AM,C,21
22/10/12 10:14:00 AM,C,21.5
22/10/12 11:14:00 AM,C,22
22/10/12 12:14:00 PM,C,22.5
22/10/12 1:14:00 PM,C,23
22/10/12 2:14:00 PM,C,23.5
22/10/12 3:14:00 PM,C,23
22/10/12 4:14:00 PM,C,23
22/10/12 5:14:00 PM,C,22.5
22/10/12 6:14:00 PM,C,21
22/10/12 7:14:00 PM,C,20.5
22/10/12 8:14:00 PM,C,20.5
22/10/12 9:14:00 PM,C,21
22/10/12 10:14:00 PM,C,21
22/10/12 11:14:00 PM,C,20.5
23/10/12 12:14:00 AM,C,20.5
23/10/12 1:14:00 AM,C,20.5
23/10/12 2:14:00 AM,C,20.5
23/10/12 3:14:00 AM,C,20
23/10/12 4:14:00 AM,C,20
23/10/12 5:14:00 AM,C,19.5
23/10/12 6:14:00 AM,C,19.5
23/10/12 7:14:00 AM,C,20.5
23/10/12 8:14:00 AM,C,21
23/10/12 9:14:00 AM,C,21.5
23/10/12 10:14:00 AM,C,22.5
23/10/12 11:14:00 AM,C,22.5
23/10/12 12:14:00 PM,C,22.5
23/10/12 1:14:00 PM,C,23
23/10/12 2:14:00 PM,C,22.5
23/10/12 3:14:00 PM,C,22.5
23/10/12 4:14:00 PM,C,22.5
23/10/12 5:14:00 PM,C,22
23/10/12 6:14:00 PM,C,21
23/10/12 7:14:00 PM,C,20
23/10/12 8:14:00 PM,C,19.5
23/10/12 9:14:00 PM,C,19.5
23/10/12 10:14:00 PM,C,19.5
23/10/12 11:14:00 PM,C,19.5
24/10/12 12:14:00 AM,C,19.5
24/10/12 1:14:00 AM,C,19.5
24/10/12 2:14:00 AM,C,19.5
24/10/12 3:14:00 AM,C,20
24/10/12 4:14:00 AM,C,20
24/10/12 5:14:00 AM,C,20
24/10/12 6:14:00 AM,C,20
24/10/12 7:14:00 AM,C,20.5
24/10/12 8:14:00 AM,C,21.5
24/10/12 9:14:00 AM,C,21
24/10/12 10:14:00 AM,C,20.5
24/10/12 11:14:00 AM,C,21
24/10/12 12:14:00 PM,C,21
24/10/12 1:14:00 PM,C,21
24/10/12 2:14:00 PM,C,21.5
24/10/12 3:14:00 PM,C,21.5
24/10/12 4:14:00 PM,C,20.5
24/10/12 5:14:00 PM,C,20.5
24/10/12 6:14:00 PM,C,20
24/10/12 7:14:00 PM,C,20
24/10/12 8:14:00 PM,C,20.5
24/10/12 9:14:00 PM,C,20.5
24/10/12 10:14:00 PM,C,20.5
24/10/12 11:14:00 PM,C,20.5
25/10/12 12:14:00 AM,C,20.5
25/10/12 1:14:00 AM,C,20
25/10/12 2:14:00 AM,C,20
25/10/12 3:14:00 AM,C,20
25/10/12 4:14:00 AM,C,19.5
25/10/12 5:14:00 AM,C,19.5
25/10/12 6:14:00 AM,C,19.5
25/10/12 7:14:00 AM,C,18.5
25/10/12 8:14:00 AM,C,19.5
25/10/12 9:14:00 AM,C,20
25/10/12 10:14:00 AM,C,20.5
25/10/12 11:14:00 AM,C,21
25/10/12 12:14:00 PM,C,20.5
25/10/12 1:14:00 PM,C,21
25/10/12 2:14:00 PM,C,21
25/10/12 3:14:00 PM,C,21.5
25/10/12 4:14:00 PM,C,21.5
25/10/12 5:14:00 PM,C,21
25/10/12 6:14:00 PM,C,21
25/10/12 7:14:00 PM,C,20.5
25/10/12 8:14:00 PM,C,20
25/10/12 9:14:00 PM,C,20
25/10/12 10:14:00 PM,C,20
25/10/12 11:14:00 PM,C,20
26/10/12 12:14:00 AM,C,20
26/10/12 1:14:00 AM,C,20
26/10/12 2:14:00 AM,C,19.5
26/10/12 3:14:00 AM,C,19.5
26/10/12 4:14:00 AM,C,19
26/10/12 5:14:00 AM,C,19
26/10/12 6:14:00 AM,C,19
26/10/12 7:14:00 AM,C,20
26/10/12 8:14:00 AM,C,21
26/10/12 9:14:00 AM,C,21.5
26/10/12 10:14:00 AM,C,22
26/10/12 11:14:00 AM,C,22
26/10/12 12:14:00 PM,C,22.5
26/10/12 1:14:00 PM,C,22.5
26/10/12 2:14:00 PM,C,22.5
26/10/12 3:14:00 PM,C,23
26/10/12 4:14:00 PM,C,23
26/10/12 5:14:00 PM,C,22.5
26/10/12 6:14:00 PM,C,21.5
26/10/12 7:14:00 PM,C,20.5
26/10/12 8:14:00 PM,C,20
26/10/12 9:14:00 PM,C,20.5
26/10/12 10:14:00 PM,C,20
26/10/12 11:14:00 PM,C,20.5
27/10/12 12:14:00 AM,C,20.5
27/10/12 1:14:00 AM,C,20.5
27/10/12 2:14:00 AM,C,20.5
27/10/12 3:14:00 AM,C,20.5
27/10/12 4:14:00 AM,C,20
27/10/12 5:14:00 AM,C,20
27/10/12 6:14:00 AM,C,20
27/10/12 7:14:00 AM,C,20.5
27/10/12 8:14:00 AM,C,21
27/10/12 9:14:00 AM,C,21.5
27/10/12 10:14:00 AM,C,22
27/10/12 11:14:00 AM,C,22.5
27/10/12 12:14:00 PM,C,22.5
27/10/12 1:14:00 PM,C,23
27/10/12 2:14:00 PM,C,23
27/10/12 3:14:00 PM,C,22.5
27/10/12 4:14:00 PM,C,22
